fid,Hg_con_PPB,Species,Location type,Forest type,Location type_1,time_bnds_1,Land cover/use,SoilQualityData; Nutrient availability,SoilQualityData; Excess salts,SoilQualityData; Workability,SoilQualityData; Toxicity,SoilQualityData; Rooting contitions,SoilQualityData; Oxygen availability to roots,SoilQualityData; Nutrient retention capacity,SoilLandCoverData; barren/very sparsely vegetated land,SoilLandCoverData; grass/scrub/woodland,"SoilLandCoverData; forest land, calibrated to FRA2000 land statistics",SoilLandCoverData; rain-fed cultivated land,"SoilLandCoverData; irrigated cultivated land, according to GMIA 4.0",SoilLandCoverData; total cultivated land,SoilLandCoverData; mapped water bodies,SoilLandCoverData; built-up land (residential and infrastructure),10m_Elevation
17,635,alder species,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
18,119,alder species,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
19,23,alder species,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
20,1,alder species,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
21,55,alder species,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
22,635,green alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
23,119,green alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
24,23,green alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
25,1,green alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
26,55,green alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
27,292,black alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
28,159,black alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
29,28,black alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
