"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Change Request","Priority","Severity","Type"
1703783,"Firefox","Menus","nobody","NEW"," ---","[Linux/macOS] Shortcuts (key combinations) are not greyed out in Proton menu"," ---","P2","S3","defect"
1703958,"Firefox","Tabbed Browser","nobody","NEW"," ---","No way for user to read tab's subtext"," ---","P2","S3","defect"
1704108,"Firefox","New Tab Page","nobody","NEW"," ---","Remove expired Telemetry probe browser_home_page_count"," ---","P2"," --","task"
1704274,"Firefox","Toolbars and Customization","nobody","NEW"," ---","Proton Icons appear blurry"," ---","P2","S4","defect"
1704347,"Firefox","Theme","nobody","NEW"," ---","regression: it's less easy to distinguish the current tab since activation of proton"," ---","P2"," --","defect"
1704537,"Firefox","Screenshots","nobody","NEW"," ---","Copy/download/X buttons for screenshots should be sticky"," ---","P2","S4","enhancement"
1704601,"Firefox","Menus","nobody","NEW"," ---","Badge is missing from account button when there are notifications available after clicking account button once"," ---","P2","S4","defect"
1704711,"Firefox","Tabbed Browser","nobody","NEW"," ---","The proton design tab button has uneven margin on left and right"," ---","P2"," --","defect"
1704915,"Firefox","Messaging System","nobody","NEW"," ---","Last step in RTAMO flow is a dead end"," ---","P2"," --","enhancement"
1705096,"Firefox","Theme","nobody","NEW"," ---","On Ubuntu with Dark theme - the mouse hover state over the blue buttons is difficult to notice"," ---","P2","S3","defect"
1705215,"Firefox","Bookmarks & History","nobody","NEW"," ---","With ""Bookmarks toolbar: only show on new tab"", tab-switches to/from a new-tab cause the viewport-height to change (and cause layout/paint jank) **in all background tabs**"," ---","P2","S4","defect"
1705254,"Firefox","Menus","nobody","NEW"," ---","Proton context menu has a misaligned corner border"," ---","P2","S4","defect"
1705356,"Firefox","Toolbars and Customization","nobody","NEW"," ---","Keyboard focused items from Overflow menu have a dotted line over the focus ring"," ---","P2","S4","defect"
1705467,"Firefox","Bookmarks & History","nobody","NEW"," ---","super key closes bookmark dialog"," ---","P2","S3","defect"
1705692,"Firefox","Protections UI","nobody","NEW"," ---","[Proton] In the Protection panel the line that separates the title from the rest of the panel it's too wide"," ---","P2","S4","defect"
1705723,"Firefox","Address Bar","nobody","NEW"," ---","search engine buttons and suggestion type filters (History, Bookmarks etc.) in the addressbar should have their label vertically aligned/centered, similar to button to remove it"," ---","P2","S4","defect"
1706382,"Firefox","Theme","nobody","NEW"," ---","""Open a new tab"" button looks blurry on Windows with Proton"," ---","P2","S3","defect"
1706458,"Firefox","Tabbed Browser","nobody","NEW"," ---","Need spacing between the mute tab icon and the tab title"," ---","P2"," --","enhancement"
1706470,"Firefox","Address Bar","nobody","NEW"," ---","Bookmark star icon uses OS color making it less noticable"," ---","P2","S4","defect"
1706477,"Firefox","Tabbed Browser","nobody","NEW"," ---","Opening tabs en masse flashes the system accent color on the tab navigation"," ---","P2"," --","defect"
1706481,"Firefox","Keyboard Navigation","nobody","NEW"," ---","""A"", ""B"" keyboard shortcuts for persistent storage prompt don't work"," ---","P2"," --","defect"
1706532,"Firefox","Site Permissions","nobody","NEW"," ---","Permissions prompt has extra focus-able button?"," ---","P2","S4","defect"
1706685,"Firefox","Menus","nobody","NEW"," ---","Bookmarks Toolbar overflow menu on macOS should use Firefox styling in MR1 instead of native styling"," ---","P2"," --","enhancement"
1706706,"Firefox","Tabbed Browser","nobody","NEW"," ---","Tab sound icon missing until hovering"," ---","P2"," --","defect"
1706770,"Firefox","Tabbed Browser","nobody","NEW"," ---","Tab highlight border not equally thick around tab"," ---","P2"," --","defect"
1706886,"Firefox","Theme","nobody","NEW"," ---","The show/hide password icon still has the old design in about:logins page"," ---","P2","S3","defect"
1706951,"Firefox","Theme","nobody","NEW"," ---","The icons in about:protections are still from the old design"," ---","P2","S3","defect"
