Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Change Request,Priority,Severity
1602849,Firefox,General,nobody,RESOLVED,WONTFIX,Correctly handle inner-frame navigations in site-specific browsers, ---,P3,normal
1602908,Firefox,General,nobody,RESOLVED,WORKSFORME,The sidebar doesn't get an updated mouse cursor when hovering links in a web view with Fission enabled, ---,P3,normal
1603069,Firefox,Messaging System,nobody,RESOLVED,WONTFIX,Remove message weight where it is not explicitly defined, ---,P3,normal
1603531,Firefox,General,nobody,RESOLVED,WONTFIX,Figure out what rules should be applied for a site specific browser loading data/blob urls.as toplevel documents, ---,P3,normal
1603533,Firefox,Messaging System,nobody,RESOLVED,WONTFIX,Update Mobile Email/SMS (S2D) Snippet Template (to do in 2020), ---,P3,normal
1603600,Firefox,about:logins,nobody,RESOLVED,INCOMPLETE,Update Banner in UI for Lockwise apps to Send to Device Widget/SMS ability, ---,P3,normal
1604209,Firefox,about:logins,nobody,RESOLVED,WORKSFORME,master password asked for every login/password copied/edited/revealed in about:logins, ---,P3,normal
1604235,Firefox,General,nobody,RESOLVED,WONTFIX,The startup blank window should not show for site specific browsers, ---,P3,normal
1604424,Firefox,General,nobody,RESOLVED,WONTFIX,SSB fails to load with uBlock Origin extension installed, ---,P3,normal
1604432,Firefox,Theme,nobody,RESOLVED,INVALID,Tab notification indicator has moved, ---,P3,normal
1604927,Firefox,Address Bar,nobody,RESOLVED,WORKSFORME,Restrict sources at the input level, ---,P3,normal
1605609,Firefox,Theme,nobody,RESOLVED,DUPLICATE,The translator info bar doesn't adjust to dark mode, ---,P3,normal
1605983,Firefox,Address Bar,nobody,RESOLVED,WORKSFORME,URI fixup alternate URI fixup causes confusion, ---,P3,S3
1606260,Firefox,Address Bar,nobody,RESOLVED,DUPLICATE,Line breaks should convert to spaces when pasting into address bar, ---,P3,S4
1606893,Firefox,Sync,nobody,RESOLVED,INCOMPLETE,"JavaScript error: resource://gre/modules/PushDB.jsm, line 414: Error: Record ? does not exist", ---,P3,normal
1608149,Firefox,Search,nobody,RESOLVED,DUPLICATE,Convert distribution engines to WebExtensions, ---,P3,normal
1608170,Firefox,Address Bar,nobody,RESOLVED,WORKSFORME,Change behavior of address bar one-off searches to work like search shortcuts, ---,P3,normal
1608206,Firefox,Migration,nobody,RESOLVED,DUPLICATE,[MSU Capstone] Port browser/chrome/browser/migration/migration.dtd to Fluent, ---,P3,normal
1609225,Firefox,Enterprise Policies,nobody,RESOLVED,WORKSFORME,Get browser.cache.disk.parent_directory working, ---,P3,S3
1609554,Firefox,General,nobody,RESOLVED,DUPLICATE,Migrate editBookmarkPanel.inc.xhtml to Fluent, ---,P3,normal
1610812,Firefox,New Tab Page,nobody,RESOLVED,DUPLICATE,Context menu is displayed wrong (on the right side) for the last Highlight from a row again, ---,P3,normal
1610846,Firefox,Search,nobody,RESOLVED,DUPLICATE,"If the search service receives an add engine request for a system add-on, then it should ignore the request if it is not in its configuration.", ---,P3,normal
1610865,Firefox,Address Bar,nobody,RESOLVED,DUPLICATE,"""1/2.3 B"" in urlbar shouldn't suggest ""Visit http://0.0.0.1/2.3 B""", ---,P3,normal
1610870,Firefox,Search,nobody,RESOLVED,DUPLICATE,"If a Search Engine WebExtension is updated, the search service should apply the new engine", ---,P3,normal
1611559,Firefox,Protections UI,nobody,RESOLVED,DUPLICATE,"Cross-site and social trackers show up as ""Allowed"" in the Protections Panel with DFPI", ---,P3,normal
1611598,Firefox,Enterprise Policies,nobody,RESOLVED,DUPLICATE,Unable to change the start page to custom url if blank page is set via policy, ---,P3,normal
